voter_id,nombre,partido,dim_1,dim_2,legislatura
P905,Treviño Villarreal Pedro Pablo,Partido Revolucionario Institucional (PRI),-0.583025,0.812454,LXIV
P906,Velasco González Marcela Guillermina,Partido Revolucionario Institucional (PRI),-0.58739,0.809304,LXIV
P907,Villegas Arreola Alfredo,Partido Revolucionario Institucional (PRI),-0.717705,0.696347,LXIV
P908,Yunes Landa Héctor,Partido Revolucionario Institucional (PRI),-0.501903,0.864924,LXIV
P909,Zarzosa Sánchez Eduardo,Partido Revolucionario Institucional (PRI),-0.636484,0.77129,LXIV
P91,Carrazco Macías Olegaria,Morena,0.309785,-0.009823,LXIV
P910,Garay Ulloa Silvano,Partido del Trabajo (PT),0.309776,-0.009803,LXIV
P911,García Duque José Luis,Partido del Trabajo (PT),0.21914,-0.975676,LXIV
P912,Jiménez Pérez María Roselia,Partido del Trabajo (PT),0.455554,-0.056341,LXIV
P913,Pérez Hernández José Ángel,Partido del Trabajo (PT),0.78478,-0.619775,LXIV
P914,Porras Domínguez Alfredo,Partido del Trabajo (PT),0.233624,0.395064,LXIV
P915,Sánchez García Lizeth,Partido del Trabajo (PT),0.309785,-0.009823,LXIV
P916,Serrano Cortes Héctor,Partido del Trabajo (PT),-0.42066,-0.649114,LXIV
P917,Torres Díaz Elba Lorena,Partido del Trabajo (PT),0.215006,-0.976608,LXIV
P918,Abasolo Sánchez Pedro Daniel,Partido del Trabajo (PT),0.309748,-0.009856,LXIV
P919,Barroso Chávez Alejandro,Partido del Trabajo (PT),0.309793,-0.009813,LXIV
P920,Dekker Gómez Clementina Marta,Partido del Trabajo (PT),0.247558,-0.051269,LXIV
P921,Domínguez Vázquez Claudia Angélica,Partido del Trabajo (PT),0.247551,-0.051283,LXIV
P922,Favela Peñuñuri Francisco,Partido del Trabajo (PT),0.309754,-0.009864,LXIV
P923,Femat Bañuelos Alfredo,Partido del Trabajo (PT),0.278073,-0.199318,LXIV
P924,Fernández Noroña Gerardo,Partido del Trabajo (PT),0.547847,-0.063676,LXIV
P925,García Grande Ana Ruth,Partido del Trabajo (PT),0.131012,0.209906,LXIV
P926,González Morales Hildelisa,Partido del Trabajo (PT),0.297486,0.037516,LXIV
P927,González Yáñez Óscar,Partido del Trabajo (PT),0.278512,-0.192012,LXIV
P929,Huacus Esquivel Francisco Javier,Partido del Trabajo (PT),0.309754,-0.009864,LXIV
