legislatura,partido,curul_tipo,n_personas,disciplina_mean,disciplina_std,centroid_d1,centroid_d2,std_d1,n_votos_mean
LXIV,PAN,plurinominal,45,0.8360911111111111,0.09344338057742443,0.37914561518562717,0.23312724138784663,0.10596364665447595,574.1111111111111
LXIV,PRI,mayoria_relativa,26,0.8426884615384616,0.08977219314207747,-0.5306354652508987,0.1350973111178622,0.0558758887965411,572.1538461538462
LXIV,PRI,plurinominal,34,0.845785294117647,0.10097421852872465,-0.48801607692491683,0.21569672878162494,0.131927593600913,564.0
LXIV,PT,mayoria_relativa,41,0.8390121951219514,0.09966739987358443,-0.41389392943337733,-1.0194650246742356,0.21459352088170025,636.0
LXIV,PT,plurinominal,7,0.7701571428571429,0.14881198268444715,-0.4133226713929101,-1.0667889041450078,0.14050895384224854,708.0
LXIV,PVEM,mayoria_relativa,7,0.8171285714285714,0.08937832910882652,-0.48403582045717103,-0.6760562419108282,0.20606322975811184,598.5714285714286
LXIV,PVEM,plurinominal,6,0.8028,0.08158188524421338,-0.4687407993665427,-0.5009791171543526,0.3719969325921899,569.8333333333334
LXV,MC,mayoria_relativa,15,0.8688533333333334,0.09942079307286826,-0.49351183842298585,-1.1247017525932153,0.35457226946334097,504.1333333333333
LXV,MC,plurinominal,18,0.90415,0.05548355612251253,-0.6901289446686669,-1.044993969103239,0.290317450290906,435.1111111111111
LXV,MORENA,mayoria_relativa,160,0.9228456250000001,0.059577826957818165,0.14679827247265778,0.16146328105531962,0.20569074856547534,521.96875
LXV,MORENA,plurinominal,94,0.917390425531915,0.06835423556918095,0.13708417175178747,0.08270454297499223,0.20610278127873127,567.468085106383
LXV,PAN,mayoria_relativa,88,0.9301670454545454,0.04838170957144216,0.0988906654924528,-1.042500031599945,0.1779715140672179,504.60227272727275
