voter_id,nombre,partido,dim_1,dim_2,legislatura
P00433,Solares Chávez Miguel Ángel,MORENA,-0.638081,0.243037,LX
P00434,Soriano Sánchez Rosa Elva,MORENA,-0.736284,-0.046688,LX
P00435,Soto Sánchez Antonio,MORENA,-0.661382,0.09304,LX
P00436,Suárez del Real y Aguilera José Alfonso,MORENA,-0.927897,-0.126438,LX
P00437,Trejo Pérez Pablo,MORENA,-0.755885,-0.043011,LX
P00438,Vallejo Estevez Mario,MORENA,-0.672875,0.083077,LX
P00439,Varela López Víctor Gabriel,MORENA,-0.975801,-0.218662,LX
P00440,Velázquez Aguirre Jesús Evodio,MORENA,-0.711511,-0.035513,LX
P00441,Villicaña García Rafael,MORENA,-0.839623,-0.202558,LX
P00442,Zazueta Aguilar Jesús Humberto,MORENA,-0.900007,-0.257403,LX
P00443,Zepeda Hernández Martín,MORENA,-0.670724,0.061237,LX
P00444,Batres Guadarrama Valentina Valia,MORENA,-0.988391,-0.151933,LX
P00445,Condado Escamilla Cuitlahuac,MORENA,-0.921353,-0.195009,LX
P00446,Fernández Balboa Mónica,MORENA,-0.971328,-0.237743,LX
P00447,Ortega Martínez Antonio,MORENA,-0.68921,0.105971,LX
P00448,Sánchez Cabrales Rafael Elías,MORENA,-0.9495,-0.313768,LX
P00449,Aguirre Alcaide Victor,MORENA,-0.822791,-0.131388,LX
P00450,Alavez Ruiz Aleida,MORENA,-0.966486,-0.25672,LX
P00451,Almonte Borja Ramón,MORENA,-0.790463,0.054398,LX
P00452,Cárdenas Hernández Raymundo,MORENA,-0.788769,-0.235608,LX
P00453,Landero López Pedro,MORENA,-0.908096,-0.335996,LX
P00454,Morales Vázquez Carlos Orsoe,MORENA,-0.600987,0.154056,LX
P00455,San Martín Hernández Juan Manuel,MORENA,-0.572533,0.144433,LX
P00456,Sánchez Ramos Francisco,MORENA,-0.941868,-0.335983,LX
P00457,Torres García Daniel,MORENA,-0.85869,-0.218088,LX
P00458,Villanueva Albarrán Gerardo,MORENA,-0.953708,-0.119468,LX
P00459,Aguilar  Diego,PRI,0.253518,0.420954,LX
P00460,Amador Leal Alberto,PRI,0.113302,0.970929,LX
P00461,Ayala Almeida Joel,PRI,0.016165,-0.272332,LX
P00462,Herrera Ale Juana Leticia,PRI,0.13374,0.74461,LX
P00463,Abramo Masso Yerico,PRI,0.03842,0.658529,LX
P00464,Aguilar Solís Samuel,PRI,0.055276,-0.385364,LX
P00465,Aispuro Torres José Rosas,PRI,-0.130783,0.316739,LX
P00466,Alcántara Núñez Jesús Sergio,PRI,0.107228,-0.04408,LX
P00467,Aldana Prieto Luis Ricardo,PRI,-0.232515,-0.278244,LX
P00468,Amador Gaxiola Daniel,PRI,0.326511,0.445684,LX
P00469,Badillo Martínez Roberto,PRI,-0.056661,0.411177,LX
P00470,Barajas Del Toro Salvador,PRI,0.093441,0.511107,LX
P00471,Barajas López Ramón,PRI,0.244873,0.26563,LX
P00472,Barba Hernández Alfredo,PRI,0.364132,0.845433,LX
P00473,Beltrán Montes Israel,PRI,-0.01888,0.571661,LX
P00474,Benítez Ojeda Luis Enrique,PRI,-0.200297,0.09558,LX
P00475,Bernal Gutiérrez Andrés Marco Antonio,PRI,0.131089,0.473351,LX
P00476,Biebrich Torres Carlos Armando,PRI,0.067303,-0.048331,LX
P00477,Blanco Pajón José Luis,PRI,0.284186,0.446701,LX
P00478,Caballero Camargo Gustavo Fernando,PRI,0.063979,0.404073,LX
P00479,Camacho Quiroz César Octavio,PRI,0.110499,-0.038087,LX
P00480,Canavati Tafich Jesús Ricardo,PRI,0.181373,-0.030301,LX
P00481,Carballo Bustamante Andrés,PRI,0.191233,0.434823,LX
P00482,Cárdenas Del Avellano Enrique,PRI,0.077241,0.489593,LX
P00483,Cárdenas Monroy Oscar Gustavo,PRI,0.064426,-0.114303,LX
P00484,Cervantes Andrade Raúl,PRI,-0.164919,-0.592645,LX
P00485,Chaurand Arzate Carlos,PRI,0.056203,0.45313,LX
P00486,Colín Guadarrama María Mercedes,PRI,0.106924,-0.059098,LX
P00487,Cordero Alfonzo Arnulfo Elías,PRI,0.1408,0.439415,LX
P00488,Díaz Athié Antonio de Jesús,PRI,0.022925,0.459236,LX
P00489,Díaz Solorzano Elmar Darinel,PRI,0.120328,0.617438,LX
P00490,Domínguez Domínguez Nemesio,PRI,-0.064126,-0.485323,LX
P00491,Duarte Jáquez César,PRI,0.04645,0.529568,LX
P00492,Escajeda Jiménez José Rubén,PRI,-0.241786,0.136623,LX
P00493,Escalante Jasso Aracely,PRI,-0.15863,0.225893,LX
P00494,Espinosa Abuxapqui Eduardo Elías,PRI,0.416963,0.654052,LX
P00495,Estefan Chidiac Charbel Jorge,PRI,-0.005545,-0.267203,LX
P00496,Flores Sandoval Patricio,PRI,0.343412,0.814686,LX
P00497,Gamboa Patrón Emilio,PRI,-0.05383,-0.154176,LX
P00498,Garza Garza Horacio Emigdio,PRI,-0.256096,-0.52763,LX
