voter_id,nombre,partido,dim_1,dim_2,legislatura
P00816,"Ríos de la Mora, Itzel Sarahí",PRI,0.414348,-0.504375,LXIII
P00817,"Ríos Piter, Armando",MORENA,-0.646927,-0.762545,LXIII
P00818,"Robledo Aburto, Zoé",MORENA,-0.640225,-0.768184,LXIII
P00819,"Robles Montoya, Ángel Benjamín",MORENA,-0.682786,-0.267366,LXIII
P00820,"Rojas Hernández, Laura Angélica",PAN,-0.129414,-0.325608,LXIII
P00821,"Romero Celis, Mely",PRI,0.421765,-0.542939,LXIII
P00822,"Romero Deschamps, Carlos",PRI,0.431439,-0.500409,LXIII
P00823,"Romero Hicks, Juan Carlos",PAN,-0.403,0.333571,LXIII
P00824,"Romero Lainas, Adolfo",MORENA,-0.326675,-0.708826,LXIII
P00825,"Romo Medina, Miguel",PRI,0.42917,-0.517668,LXIII
P00826,"Rosas González, Óscar Román",PRI,0.477379,-0.5282,LXIII
P00827,"Ruffo Appel, Ernesto",PAN,-0.509128,0.335737,LXIII
P00828,"Salazar Fernández, Luis Fernando",PAN,-0.184004,-0.112256,LXIII
P00829,"Salazar Solorio, Rabindranath",MORENA,-0.894298,-0.207961,LXIII
P00830,"Saldaña Pérez, María Lucero",PRI,0.410169,-0.506204,LXIII
P00831,"Salinas Sada, Ninfa",PVEM,0.428781,-0.541572,LXIII
P00832,"Sánchez Jiménez, Luis",MORENA,-0.596813,-0.357385,LXIII
P00833,"Sansores San Román, Layda",PT,-0.936215,0.351427,LXIII
P00834,"Tello Cristerna, Alejandro",PRI,0.340786,-0.78739,LXIII
P00835,"Torres Corzo, Teófilo",PRI,0.393701,-0.505429,LXIII
P00836,"Torres Graciano, Fernando",PAN,0.967282,0.253705,LXIII
P00837,"Vega Casillas, Salvador",PAN,0.314613,-0.103361,LXIII
P00838,"Yunes Landa, Héctor",PRI,0.408252,-0.508584,LXIII
P00839,"Yunes Márquez, Fernando",PAN,0.365702,-0.511947,LXIII
P00840,"Zamora Jiménez, Arturo",PRI,0.796004,-0.605292,LXIII
P00842,"Lozano Alarcón, Javier",PAN,0.984977,0.088762,LXIII
P00843,"Merodio Reza, Lilia Guadalupe",PRI,0.4084,-0.503692,LXIII
P00844,"Neyra Chávez, Armando",PRI,0.420053,-0.517377,LXIII
P00845,"Yunes Zorrilla, José Francisco",PRI,0.740025,-0.672578,LXIII
P00846,"Melgar Bravo, Luis Armando",PVEM,0.427443,-0.507187,LXIII
P00847,"Torres Peimbert, María Marcela",PAN,-0.495495,0.383304,LXIII
P00848,"Blásquez Salinas, Marco Antonio",PT,-0.780988,0.195338,LXIII
P00849,"Sánchez García, Gerardo",PRI,0.503613,-0.49956,LXIII
P00850,"Ortega Martínez, Ma. del Pilar",PAN,-0.240055,0.006788,LXIII
P00851,"Martínez Espinoza, María Verónica",PRI,0.403486,-0.505822,LXIII
P00898,"Urzúa Rivera, Ricardo",PRI,0.46174,-0.443604,LXIII
P00915,"Acosta Islas, Anabel",PRI,0.422246,-0.513267,LXIII
P00916,"Aréchiga Ávila, Jorge",PVEM,0.424335,-0.509063,LXIII
P00918,"Fernández Sánchez Navarro, Juan Alejandro",PAN,0.509794,0.076073,LXIII
P00924,"Domínguez Arvizu, María Hilaria",PAN,0.491222,-0.522206,LXIII
P00925,"Rocha Acosta, Sonia",PAN,-0.150901,0.385747,LXIII
P00927,"Salinas Balam, Víctor",PRI,0.314603,-0.502808,LXIII
P01430,"Fernández Fuentes, Luis Humberto",PAN,-0.636024,-0.691467,LXIII
P01431,"Tagle Martínez, Martha Angélica",MORENA,-0.702766,0.053005,LXIII
P01432,"Medina Ramírez, Tereso",PRI,0.431176,-0.508088,LXIII
P01433,"Merino Campos, Carlos Manuel",PT,-0.98871,0.149843,LXIII
P01458,"Toledo Luis, Jorge",PRI,0.420717,-0.510432,LXIII
P01464,"Ayala Ríos, Erika",PRI,0.483615,-0.552058,LXIII
P01465,"de la Torre Valdez, Yolanda",PRI,0.395808,-0.502312,LXIII
P01466,"García Guajardo, Sandra Luz",PAN,-0.078328,0.125524,LXIII
P01467,"Olvera Acevedo, José Marco Antonio",PRI,0.433548,-0.52165,LXIII
P01468,"Priego Calva, Jesús",PAN,0.41938,-0.526089,LXIII
P01469,"Santana García, José de Jesús",PAN,0.507535,0.096881,LXIII
P01470,"García García, Andrea",PAN,0.31101,0.151091,LXIII
P01471,"Flores Ávalos, Héctor David",PAN,-0.262513,-0.073774,LXIII
P01472,"Martínez Elizondo, Sylvia Leticia",PAN,0.708975,0.705234,LXIII
P01474,"Izaguirre Francos, María del Carmen",PRI,0.376356,-0.498852,LXIII
P01475,"González Rodríguez, María de los Ángeles Verónica",MORENA,-0.818836,-0.574028,LXIII
P01476,"Menchaca Medrano, Héctor Adrián",PT,-0.997772,0.066714,LXIII
P01477,"Roldán Benítez, Alejandra",PT,-0.771886,-0.511008,LXIII
P01478,"Torres López, Amelia",PAN,0.449067,-0.540389,LXIII
P01480,"Dorantes Martínez, Carmen",PRI,0.428152,-0.509172,LXIII
P01481,"Hernández Ruiz, Félix Benjamín",PT,-0.749083,-0.206012,LXIII
P01482,"Cárdenas Fonseca, Manuel",PAN,-0.620053,0.270871,LXIII
P01483,"Ceballos Llerenas, Hilda",PRI,0.455144,-0.523009,LXIII
P01486,"Marín Moreno, María Lorena",PAN,0.462235,-0.554667,LXIII
P01495,"Albarrán Mendoza, Esteban",PRI,0.41213,-0.506812,LXIII
P01497,"Herrera Guajardo, Laura Guadalupe",PAN,-0.318751,0.253267,LXIII
P01498,"Leal Islas, Patricia",PAN,0.770232,0.637764,LXIII
P01499,"García Chávez, Raymundo",PRI,0.494884,-0.533249,LXIII
P01500,"Guzmán Avilés, María del Rosario",PAN,-0.142211,0.223613,LXIII
P01524,"Barrón Vivanco, Michelle Arandine",PRI,0.494883,-0.533245,LXIII
P01555,"Tapia Franco, José María",PRI,0.385862,-0.504103,LXIII
P01556,"Cesáreo Guzmán, Celestino",MORENA,-0.465887,-0.884844,LXIII
P01562,"Galicia Ávila, Víctor Manuel Anastasio",PRI,0.28816,-0.517935,LXIII
P01563,"Rementería Coello, Ainara",PRI,0.313666,-0.505447,LXIII
P01564,"Zuarth Esquinca, Rubén Antonio",PRI,0.316544,-0.501737,LXIII
P01565,"Lucia Espejo, Miguel Enrique",PT,-0.776285,-0.630382,LXIII
P01566,"Berlanga Sánchez, Marlon",PT,-0.874836,-0.484419,LXIII
P01567,"Loaiza Garzón, Adriana",PAN,-0.30099,0.953627,LXIII
P01568,"Luque Inzunza, Martha Vianey",PVEM,0.311334,-0.504844,LXIII
P01570,"Flores Valdez, Anastacia Guadalupe",PRI,0.319364,-0.505892,LXIII
P01574,"Terán Velázquez, María Esther",PRI,0.321128,-0.504322,LXIII
P01577,"Esquinca Cano, Froilán",PT,-0.813727,-0.04321,LXIII
P01579,"González Pérez, Elva Martha",PAN,-0.417203,0.016619,LXIII
P01580,"Ojesto Martínez Porcayo, María del Carmen",PT,-0.946417,-0.322946,LXIII
P01581,"Carrasco Zanini Castillo, Eduardo Ernesto",PT,-0.74779,-0.239696,LXIII
P00074,"Navarro Quintero, Miguel Angel",MORENA,0.334805,0.77854,LXIV
P00096,"López Sollano, Saúl",MORENA,0.278212,0.09858,LXIV
P00713,"Hernández Ramos, Minerva",PAN,-0.933512,0.358545,LXIV
P01584,"Abreu Artiñano, Rocío Adriana",MORENA,0.278878,0.429505,LXIV
P01585,"Ahued Bardahuil, Ricardo",MORENA,0.716475,-0.186842,LXIV
P01586,"Álvarez Lima, José Antonio Cruz",MORENA,0.296278,0.453375,LXIV
P01587,"Añorve Baños, Manuel",PRI,-0.54421,0.166697,LXIV
P01588,"Arias Solís, Cristóbal",MORENA,0.280979,0.372547,LXIV
