legislator_id,nombre,partido,partido_id,comunidad,degree_centrality,betweenness_centrality,covotacion_intra_partido,covotacion_inter_partido_prom
P00033,"Corral Jurado, Javier",PAN,O12,1,1.0,0.0906448516478147,0.9123981773382102,0.4696132912646623
P00034,"Corral Romero, María del Carmen",PAN,O12,1,0.4191832922640109,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00035,"Cortina Reynoso, Manuel",PAN,O12,1,0.41282624025534675,5.257283198771925e-05,0.9123981773382102,0.4696132912646623
P00036,"Cota Osuna, José Carlos",PRI,O15,1,0.4164775496185408,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00037,"Cruz Martínez, Marcos Carlos",PRD,O18,1,0.4175863021210487,5.5924759394301526e-05,0.9059929067141574,0.49530642013191845
P00038,"Cruz Muñoz, María Elena",PAN,O12,1,0.4190278910258686,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00039,"De la Vega García, Netzahualcóyotl",PRI,O15,1,0.41957530168087115,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00040,"Díaz Castro, Lauro",PRI,O15,1,0.4188965978614528,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00041,"Domínguez López, Silvia Asunción",PRI,O15,1,0.41857818356453363,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00042,"Escalante Jasso, Aracely",PRI,O15,1,0.4187584822697804,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00043,"Escandón Cadenas, Rutilio Cruz",PRD,O18,1,0.41370941699517705,5.3895510509157346e-05,0.9059929067141574,0.49530642013191845
P00044,"Esquivel Reyes, Rita María",PAN,O12,1,0.4162737001987736,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00045,"Fernández de Cevallos Ramos, Diego",PAN,O12,1,0.33757366400224387,7.470474510077479e-06,0.9123981773382102,0.4696132912646623
P00046,"Fernández de Cevallos y Urueta, Francisco",PAN,O12,1,0.41994796287160807,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00047,"Fernández Rodríguez, Marco Antonio",PRI,O15,1,0.3954432213835929,4.535862514548661e-05,0.9556839908588937,0.4718876604060948
P00048,"Ferrer Rodríguez, María Esther",PAN,O12,1,0.3314601258963149,6.125002157326748e-06,0.9123981773382102,0.4696132912646623
P00049,"Fraile García, Francisco A",PAN,O12,1,0.41672405179624844,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00050,"Franco Jiménez, Jorge Eduardo",PRI,O15,1,0.4188293580485772,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00051,"Galván Muñoz, Jesús",PAN,O12,1,0.4191279452930206,5.5924759394301526e-05,0.9123981773382102,0.4696132912646623
P00052,"Gamboa Patrón, Emilio",PRI,O15,3,0.8404357269323147,0.02141091806456953,0.9556839908588937,0.4718876604060948
P00053,"García Torres, Antonio",PRI,O15,1,0.42000470154303066,5.5924759394301526e-05,0.9556839908588937,0.4718876604060948
P00054,"Garza Galindo, Laura Alicia",PRI,O15,1,0.3656239536940617,2.1871683442136067e-05,0.9556839908588937,0.4718876604060948
