voter_id,nombre,genero,curul_tipo,legislatura,partido,partido_disciplina,dim_1_aligned,dim_2_aligned,dim_1_raw,dim_2_raw,disciplina,n_votos
P02414,"Flores Hurtado, Reyes",M,mayoria_relativa,LXV,MORENA,Independientes,0.7261163915832576,-0.4240550515923567,0.481534,-0.335058,0.9898,293.0
P02415,"Gómez Leal, José Ramón",M,mayoria_relativa,LXV,MORENA,Independientes,0.7120853915832575,-0.44311905159235665,0.467503,-0.354122,1.0,183.0
P02447,"Rojas Díaz Durán, Alejandro",M,plurinominal,LXV,MORENA,Independientes,-0.07967860841674251,-0.3482900515923567,-0.324261,-0.259293,0.9479,96.0
P02450,"Ballesteros Mancilla, Laura Iraís",F,plurinominal,LXV,MC,Sin Partido,-0.4671636084167425,0.07201994840764331,-0.711746,0.161017,0.9735,151.0
P02452,"Tamayo Herrera, Yadhira Yvette",F,,LXV,PAN,Convergencia,-0.3456896084167425,0.7182069484076433,-0.590272,0.807204,1.0,26.0
P02453,"Aguilar Castillejos, José Antonio",M,,LXV,MORENA,Independientes,0.7132173915832576,-0.9723880515923568,0.468635,-0.883391,0.9873,79.0
P02455,"Holguín Franco, Omar",M,,LXV,MORENA,Independientes,0.08160639158325747,-0.5518190515923567,-0.162976,-0.462822,0.9832,119.0
P02459,"López Carreto, Indira Paola",F,mayoria_relativa,LXV,MORENA,Independientes,0.5473463915832575,-0.3080980515923567,0.302764,-0.219101,0.9556,90.0
P02460,"Hernández Fernández, Maura",F,plurinominal,LXV,MORENA,Independientes,0.5473673915832575,-0.3081530515923567,0.302785,-0.219156,1.0,69.0
P02461,"Peña Ocampo, Leticia",F,,LXV,MORENA,Independientes,0.5473713915832574,-0.3081290515923567,0.302789,-0.219132,1.0,49.0
P00020,"Cantón Zetina, Oscar",M,mayoria_relativa,LXVI,MORENA,Independientes,-0.15921874823874754,-0.18348348493150685,-0.774423,-0.153649,1.0,204.0
P00033,"Corral Jurado, Javier",M,,LXVI,MORENA,Independientes,-0.06407774823874762,-0.14756648493150687,-0.679282,-0.117732,0.9946,185.0
P00790,"López Hernández, Adán Augusto",M,,LXVI,MORENA,Independientes,-0.17202274823874758,-0.17636648493150686,-0.787227,-0.146532,1.0,319.0
P00799,"Morón Orozco, Raúl",M,,LXVI,MORENA,Independientes,-0.17445774823874755,-0.17921548493150685,-0.789662,-0.149381,1.0,309.0
P00802,"Ortiz Domínguez, Maki Esther",F,plurinominal,LXVI,PVEM,Nueva Alianza,-0.3582967482387475,-0.25851748493150684,-0.973501,-0.228683,0.9932,294.0
P00821,"Romero Celis, Mely",F,,LXVI,PRI,Partido Encuentro Social,0.9936712517612525,-0.4788724849315068,0.378467,-0.449038,0.9495,317.0
P00828,"Salazar Fernández, Luis Fernando",M,,LXVI,MORENA,Independientes,-0.09155574823874763,-0.05269848493150685,-0.70676,-0.022864,0.9955,223.0
P00846,"Melgar Bravo, Luis Armando",M,plurinominal,LXVI,PVEM,Nueva Alianza,-0.06033674823874752,-0.5092914849315069,-0.675541,-0.479457,0.9397,116.0
P01586,"Álvarez Lima, José Antonio Cruz",M,mayoria_relativa,LXVI,MORENA,Independientes,-0.17376574823874752,-0.18215648493150688,-0.78897,-0.152322,1.0,298.0
P01587,"Añorve Baños, Manuel",M,,LXVI,PRI,Partido Encuentro Social,0.9792642517612524,-0.4676724849315068,0.36406,-0.437838,0.9635,329.0
P01599,"Camino Farjat, Verónica Noemí",F,mayoria_relativa,LXVI,MORENA,Independientes,-0.17156174823874754,-0.17862648493150685,-0.786766,-0.148792,0.9909,328.0
P01602,"Castañeda Hoeflich, Clemente",M,,LXVI,MC,Sin Partido,1.5835102517612525,-0.27960248493150686,0.968306,-0.249768,0.9958,240.0
P01603,"Castro Castro, Imelda",F,mayoria_relativa,LXVI,MORENA,Independientes,-0.1761047482387476,-0.17812448493150684,-0.791309,-0.14829,1.0,315.0
P01606,"De León Villard, Sasil",F,,LXVI,MORENA,Independientes,-0.1515997482387476,-0.18251748493150688,-0.766804,-0.152683,0.9392,263.0
P01615,"García Yáñez, Ángel",M,,LXVI,PRI,Partido Encuentro Social,0.9957122517612524,-0.4791664849315068,0.380508,-0.449332,1.0,293.0
P01617,"González Yáñez, Alejandro",M,,LXVI,PT,Alternativa Socialdemócrata,-0.17567474823874757,-0.18342848493150687,-0.790879,-0.153594,0.9963,269.0
P01627,"Martínez Miranda, Higinio",M,mayoria_relativa,LXVI,MORENA,Independientes,-0.11212374823874754,-0.21410648493150686,-0.727328,-0.184272,1.0,92.0
P01633,"Micher Camarena, Martha Lucía",F,,LXVI,MORENA,Independientes,-0.17083374823874758,-0.18031148493150684,-0.786038,-0.150477,0.9825,286.0
P01639,"Ostoa Ortega, Aníbal",M,,LXVI,MORENA,Independientes,-0.1765137482387476,-0.17833548493150686,-0.791718,-0.148501,1.0,321.0
P01646,"Ramírez Marín, Jorge Carlos",M,,LXVI,PVEM,Nueva Alianza,-0.10008874823874753,-0.02905348493150685,-0.715293,0.000781,0.9937,318.0
