vote_event_id,result,requirement,asistentes,mayoria_necesaria,a_favor,en_contra,abstencion,ausente,margin,critical_parties,critical_count
VE_S00048,aprobada,mayoria_simple,114,57,109,2,3,0,52,,0
VE_S00049,aprobada,mayoria_calificada,111,991,111,0,0,0,-880,O12|O13|O15|O18|O19,5
VE_S00050,aprobada,mayoria_simple,117,59,117,0,0,0,58,,0
VE_S00051,aprobada,mayoria_simple,110,55,109,0,1,0,54,,0
VE_S00052,aprobada,mayoria_simple,109,55,109,0,0,0,54,,0
VE_S00053,aprobada,mayoria_simple,118,59,118,0,0,0,59,,0
VE_S00054,aprobada,mayoria_simple,103,52,101,0,2,0,49,,0
VE_S00055,aprobada,mayoria_simple,99,50,98,0,1,0,48,,0
VE_S00056,aprobada,mayoria_simple,108,54,80,27,1,0,26,O12|O15,2
VE_S00057,aprobada,mayoria_simple,99,50,79,0,20,0,29,O12|O15,2
VE_S00058,aprobada,mayoria_simple,103,52,103,0,0,0,51,,0
VE_S00059,aprobada,mayoria_simple,95,48,95,0,0,0,47,,0
VE_S00060,aprobada,mayoria_simple,98,49,98,0,0,0,49,,0
VE_S00061,aprobada,mayoria_simple,103,52,102,0,1,0,50,,0
VE_S00062,aprobada,mayoria_simple,104,52,103,0,1,0,51,,0
VE_S00063,aprobada,mayoria_simple,101,51,101,0,0,0,50,,0
VE_S00064,aprobada,mayoria_simple,104,52,104,0,0,0,52,,0
VE_S00065,aprobada,mayoria_simple,97,49,97,0,0,0,48,,0
VE_S00066,aprobada,mayoria_simple,99,50,99,0,0,0,49,,0
VE_S00067,aprobada,mayoria_simple,99,50,95,0,4,0,45,,0
VE_S00068,aprobada,mayoria_simple,78,39,74,0,4,0,35,,0
VE_S00069,aprobada,mayoria_simple,113,57,68,45,0,0,11,O12|O15,2
VE_S00070,aprobada,mayoria_simple,100,50,100,0,0,0,50,,0
VE_S00071,aprobada,mayoria_simple,87,44,70,0,17,0,26,O12|O15,2
VE_S00072,aprobada,mayoria_simple,97,49,96,0,1,0,47,,0
VE_S00073,aprobada,mayoria_simple,102,51,101,0,1,0,50,,0
VE_S00074,aprobada,mayoria_simple,110,55,108,0,2,0,53,,0
VE_S00075,aprobada,mayoria_simple,76,38,52,17,7,0,14,O12|O15,2
VE_S00076,aprobada,mayoria_simple,94,47,85,9,0,0,38,,0
VE_S00077,aprobada,mayoria_calificada,106,991,106,0,0,0,-885,O12|O13|O15|O18|O19,5
VE_S00078,aprobada,mayoria_simple,103,52,77,2,24,0,25,O12|O15,2
VE_S00079,aprobada,mayoria_simple,77,39,56,18,3,0,17,O12|O15,2
VE_S00080,aprobada,mayoria_simple,89,45,88,0,1,0,43,,0
VE_S00081,aprobada,mayoria_simple,84,42,84,0,0,0,42,,0
VE_S00082,aprobada,mayoria_simple,78,39,78,0,0,0,39,,0
VE_S00083,aprobada,mayoria_simple,81,41,44,37,0,0,3,O12|O15|O18,3
VE_S00084,aprobada,mayoria_simple,79,40,75,0,4,0,35,,0
VE_S00085,aprobada,mayoria_simple,96,48,96,0,0,0,48,,0
VE_S00086,aprobada,mayoria_simple,102,51,102,0,0,0,51,,0
